hilane,	हिलाने,	हिलने
pitne,	पिटने,	पीटने
aprihary,	अपरिहार्य,	अपरिहार्य
aviral,	एविराल,	अविरल
telon,	टेलों,	तेलों
karam,	करम,	करम
ramkot,	रामकोट,	रामकोट
failaaiye,	फैलाइए,	फैलाइए
jajmauu,	जजमौऊ,	जाजमऊ
girti,	गिरती,	गिरती
vyaghat,	व्याघात,	व्याघात
phodo,	फोडो,	फोड़ों
naksal,	नकसाल,	नक्सल
dhkal,	ढकाल,	ढकाल
sarahi,	सराही,	सराही
karyakartaon,	कार्यकर्ताओं,	कार्यकर्ताओं
bazi,	बाजी,	बाज़ी
chhutne,	छुटने,	छूटने
neelaabh,	नीलाभ,	नीलाभ
dune,	दूने,	दूने
tarkvad,	तर्कवाड,	तर्कवाद
haive,	हैवे,	हैव
pranon,	प्रनों,	प्राणों
pravati,	प्रवती,	प्रवत्ति
neto,	नेटो,	नेटो
chhajan,	छजन,	छाजन
pakhandi,	पाखंडी,	पाखंडी
wesle,	वेसल,	वेस्ले
ibiza,	इबिजा,	इबीजा
wise,	वाइज,	वाइज
masoor,	मसूर,	मसूर
katlari,	कतलरी,	कटलरी
boriwali,	बोरीवाली,	बोरीवली
daak,	दाक,	डाक
shitij,	शीतितिज,	क्षितिज
dikhaaiye,	दिखाइए,	दिखाइये
shubhankar,	शुभंकर,	शुभंकर
theharne,	ठहरने,	ठहरने
taza,	ताजा,	ताजा
official,	ऑफीशियल,	ऑफिशियल
virodhabhason,	विरोधाधसों,	विरोधाभासों
catholicon,	कैथलिकों,	कैथोलिकों
navaa,	नवा,	नवा
talabgar,	तलबगर,	तलबगार
mamooli,	माूली,	मामूली
tuesday,	ट्यूसेडी,	ट्यूजडे
rukavaton,	रुकावटों,	रूकावटों
sthoolta,	स्थूलता,	स्थूलता
dabhara,	दभररा,	डभरा
dhuan,	धुआन,	धुआं
pagbadha,	पगबाधा,	पगबाधा
landal,	लंडल,	लेंडल
jeevan,	जीवन,	जीवन
jhalakti,	झलकती,	झलकती
sthool,	स्थूल,	स्थूल
nokri,	नोकरी,	नोकरी
samadhan,	समाधान,	समाधान
sahuliyat,	सहूलियत,	सहूलियत
canterbury,	कैंटरबरी,	कैंटरबरी
upneta,	उपनेता,	उपनेता
untees,	उंटीस,	उनतीस
vanshdhar,	वांधधार,	वंशधर
tadipaar,	तादीपार,	तड़ीपार
pahani,	पहनी,	पहनी
khudai,	खुदाई,	खुदाई
varsaryache,	वारसर्यच,	वर्साचे
hercules,	हर्कूल्स,	हरक्यूलिस
bhraantiyan,	भ्रांतियां,	भ्रांतियां
naamdhari,	नामधारी,	नामधारी
tagde,	टगड़े,	तगड़े
samprati,	संप्रति,	संप्रति
mumba,	मुंबा,	बंबा
standhaari,	स्तनधारी,	स्तनधारी
mezbaan,	मेजबान,	मेजबान
labelling,	लेबलिंग,	लेबलिंग
nazeem,	नजीम,	नजीम
baapaa,	बापा,	बापा
kutta,	कुट्टा,	कुत्ता
jerusalem,	जेरूसलेम,	यरूशलेम
batlaaye,	बतलाए,	बतलाए
dastana,	दस्ताना,	दस्ताना
registani,	रेजिस्तानी,	रेगिस्तानी
shamitabh,	क्षमितभ,	शमिताभ
bechkar,	बेचकर,	बेचकर
qazi,	काजी,	काजी
mad,	माद,	मैड
taantaa,	तांता,	तांता
bavaji,	बावाजी,	बावजी
nihalchand,	निहालचंद,	निहालचंद
bhairavnath,	भैरावनाथ,	भैरवनाथ
praroop,	प्ररूप,	प्रारूप
vidyaaon,	विद्याओं,	विद्याओं
jaunch,	जौंच,	जाँच
murjha,	मुर्झा,	मुर्झा
anthak,	अंथक,	अनथक
samoa,	समो,	सामोआ
jadd,	जद्द,	जड़
raidical,	रेडिकल,	रैडिकल
alochakon,	आलोचकों,	आलोचकों
spray,	स्प्रय,	स्प्रे
chhekein,	छेकें,	छींके
rawail,	रवैल,	रवैल
cube,	क्यूब,	क्यूब
prayaasrat,	प्रयास्रत,	प्रयासरत
darawani,	दरवानी,	डरावनी
barpaayaa,	बरपाया,	बरपाया
siddhwat,	सिद्धवत,	सिद्धवट
chithhi,	चित्ही,	चिठ्ठी
adp,	एडीपी,	एडीपी
uthapatak,	उठापतक,	उठापटक
yaari,	यारी,	यारी
maulaviyon,	मौलवियों,	मौलवियों
jing,	जिंग,	जिंग
kapda,	कपड़ा,	कपड़ा
mahathir,	महातीर,	महाथिर
mhamantra,	महामंत्र,	महामंत्र
rasaayanik,	रसायनिक,	रसायनिक
pehla,	पहला,	पहला
chart,	चर्ट,	चार्ट
belinda,	बेलिंडा,	बेलिंडा
ashaktataa,	अशक्तता,	अशक्तता
juban,	जुबान,	ज़ुबान
anant,	अनांत,	अनंत
nuskhe,	नुस्खे,	नुस्खे
tantron,	तंत्रों,	तंत्रों
hemwati,	हेमवती,	हेमवती
shud,	शुद,	शुड
rig,	रिग,	रिग
asamanjasy,	असमंजस्य,	असामंजस्य
shahdara,	शहदारा,	शहादरा
vyabhichar,	व्यभभिचार,	व्यभिचार
bakoul,	बैकौल,	बकौल
dukhiyon,	दूखियों,	दुखियों
lindan,	लिंडन,	लिंडन
ajit,	अजीत,	अजित
mhagranth,	महागृरां,	महाग्रंथ
wolv,	वॉल्व,	वाल्व
alai,	अलाई,	अली
baldvin,	बाल्डवीन,	बाल्डविन
mardo,	मार्डो,	मर्दों
kmere,	क्मेरे,	कमेरे
signals,	सिग्नल्स,	सिगनल्स
sanjeevan,	संजीवन,	संजीवन
baahulya,	बहुल्य,	बाहुल्य
sonu,	सोनू,	सोनू
amavasya,	अमावस्य,	अमावस्या
abbasi,	अब्सासी,	अब्बासी
asurkshit,	असुरक्षित,	असुरक्षित
urvarta,	उरवारता,	उर्वरता
aryo,	आर्यो,	आर्यो
puna,	पूना,	पुना
bhara,	भारा,	भरा
janch,	जांच,	जाँच
dhaari,	धारी,	धारी
gumaan,	गुमान,	गुमान
liberation,	लिबरेशन,	लिबरेशन
mejbaan,	मेजबान,	मेजबान
nirdeshikaa,	निर्देशिका,	निर्देशिका
tejaji,	तेजाजी,	तेजाजी
phadphadata,	फड़फाड़ता,	फड़फड़ाता
aavritiyon,	आवृतियों,	आवृत्तियों
badhata,	बढ़ता,	बढ़ाता
abantit,	अबंतीत,	आबंटित
hymen,	हमाइन,	हाइमन
sukhakar,	सुखाकर,	सूखाकर
jain,	जैन,	जैन
lux,	लक्स,	लक्स
ganguly,	गंगुल्य,	गांगुली
choron,	चोरों,	चोरों
garjana,	गर्जना,	गर्जना
kaping,	केपिंग,	कपिंग
wadiyon,	वाडियों,	वादियों
bapa,	बापा,	बापा
jaden,	जादें,	जड़ें
bodra,	बोदरा,	बोदरा
tarabai,	तरबाई,	ताराबाई
rambharose,	रामभोरसे,	रामभरोसे
kushan,	कुशान,	कुषाण
farsi,	फर्सी,	फारसी
dukhon,	दूखों,	दुखों
nakam,	नाकम,	नाकाम
nikalni,	निकलनी,	निकालनी
swaachaalit,	स्वाचालित,	स्वाचालित
boliae,	बोलियाई,	बोलिए
siera,	सियरा,	सिएरा
siwan,	सिवान,	सिवान
dhandhanya,	धांधन्य,	धनधान्य
avasthaayen,	अवस्थाएं,	अवस्थाएं
bago,	बगो,	बागो
tarfa,	तर्फा,	तरफा
divya,	दिव्य,	दिव्या
orian,	ओरियन,	ओरियन
marathi,	माराठी,	मराठी
upadrawon,	उपद्रवों,	उपद्रवों
trijata,	तृजजता,	त्रिजटा
vitark,	वितर्क,	वितर्क
taoo,	ताऊ,	टाऊ
bnaam,	बनाम,	बनाम
aalhaa,	आल्हा,	आल्हा
ishat,	इश्ट,	ईष्ट
hasinon,	हसीनों,	हसीनों
sulkhan,	सुलखान,	सुलखान
kolorado,	कोलोरड़ो,	कोलोराडो
prastaavon,	प्रस्तावों,	प्रस्तावों
bangbhang,	बंगभंग,	बंगभंग
kachche,	कच्चे,	कच्चे
mayorka,	मयोरका,	मयोर्का
lajjalu,	लजजलू,	लज्जालु
bamba,	बांबा,	बंबा
kalighat,	कलिघाट,	कालीघाट
kamottejana,	कमोटेजना,	कामोत्तेजना
chhetter,	छेटर,	छेत्र
achnera,	अचनेरा,	अछनेरा
ramkote,	रामकोटे,	रामकोट
durbhiksh,	दुरभीक्ष,	दुर्भिक्ष
sujain,	सुजैन,	सुजैन
pearson,	पीर्सन,	पियरसन
jayalalita,	जयलालिता,	जयललिता
vidyaon,	विद्याओं,	विद्याओं
phogat,	फोगत,	फोगाट
shipra,	शिप्र,	शिप्रा
patrani,	पत्रणी,	पटरानी
najeem,	नजीम,	नजीम
tarko,	तरको,	तर्कों
gross,	ग्रॉस,	ग्रॉस
pam,	पम,	पैम
kaaji,	काजी,	काजी
cigaretton,	सिगरेट्टों,	सिगरेटों
lagnewale,	लगनेवाले,	लगनेवाले
durdarshan,	दूरदर्शन,	दूरदर्शन
rajtantra,	राजतंत्र,	राजतंत्र
alankaron,	अलंकारों,	अलंकारों
lindon,	लिंडन,	लिंडन
vigyaanon,	विज्ञानों,	विज्ञानों
chadron,	चादरों,	चादरों
vibhram,	विभ्रम,	विभ्रम
bhutto,	भूट्टो,	भुट्टो
shrabon,	श्रबों,	शराबों
heroes,	हिरूज,	हीरोज
mundwa,	मुंडवा,	मुंडवा
batlaae,	बतलाए,	बतलाए
avika,	आविका,	अविका
tivoli,	तिवोली,	टिवोली
kamzor,	कमजोर,	कमज़ोर
langron,	लंग्रों,	लंगरों
grenite,	ग्रेनिट,	ग्रेनाइट
kasimabad,	कासीमाबाद,	कासिमाबाद
ski,	एसकीआई,	स्की
jivant,	जीवंत,	जीवंत
uthaapatak,	उठापतक,	उठापटक
shahrvasiyon,	शहरवासियों,	शहरवासियों
sund,	सूंड,	सूंड़
utne,	उतने,	उतने
labelo,	लेबलो,	लेबलों
parikshaayein,	परीक्षाएं,	परीक्षाएं
damle,	डमले,	दामले
chhuraa,	छुरा,	छुरा
prahad,	प्रहाड़,	प्रह्लाद
thirke,	थिरके,	थिरके
amanat,	अमानत,	अमानत
enzyme,	एंजीम,	एंजाइम
jatak,	जटक,	जातक
stops,	स्टॉप्स,	स्टॉप्स
chatushkoniy,	चतुषकोनीय,	चतुष्कोणीय
dhyeyavaadi,	ध्येयवादी,	ध्येयवादी
benwar,	बेनवार,	बेंवर
munafa,	मुनाफा,	मुनाफा
chand,	चांड,	चंद
nehra,	नहरा,	नेहरा
dah,	दाह,	दाह
eyarave,	एयरवे,	एयरवे
samprabhuta,	संप्रभुता,	संप्रभुता
namankano,	नमनकानों,	नामांकनों
aary,	आर्य,	आर्य
murmur,	मुरमूर,	मरमर
lycopene,	लाइकोपेन,	लाइकोपिन
ro,	रो,	आरओ
uchhalne,	उछलने,	उछालने
nihlaani,	निहलानी,	निहलानी
jaidayal,	जैदायल,	जयदयाल
sandarbh,	संदार्भ,	संदर्भ
kamottejna,	कमोट्टेजना,	कामोत्तेजना
sanchari,	सांचारी,	संचारी
harvansh,	हरवंश,	हरवंश
arymaa,	आर्यमा,	अर्यमा
sanskritiyan,	संस्कृतियां,	संस्कृतियां
mitaao,	मिटाओ,	मिटाओ
modyuls,	मॉडियल्स,	मॉड्यूल्स
sanghanit,	संघानित,	संघनित
timer,	टाइमर,	टाइमर
england,	इंग्लैंड,	इंग्लैंड
janagananaa,	जनगानना,	जनगणना
nihlani,	निहलानी,	निहलानी
have,	हेव,	हैव
rapping,	रैपिंग,	रैपिंग
bheed,	भीड़,	भीड़
helper,	हेल्पर,	हेल्पर
mahlon,	महलों,	महलों
fansi,	फांसी,	फांसी
maule,	मौले,	मौले
usmen,	उसमें,	उसमें
premlata,	प्रेमलाता,	प्रेमलता
cric,	क्रिक,	क्रिक
amanati,	अमानती,	अमानती
sathiya,	साथिया,	साथिया
bakse,	बकसे,	बक्से
naushad,	नौषाद,	नौशाद
taraash,	तराश,	तराश
depthiriya,	देप्थिरिया,	डिप्थीरिया
programers,	प्रोग्रामर्स,	प्रोग्रामर्स
addon,	एड्डों,	अड्डों
radhe,	राधे,	राधे
chuka,	चूका,	चुका
salib,	सलीब,	सलीब
phoos,	फूस,	फूस
generic,	जेनेरिक,	जेनरिक
bageechi,	बागीची,	बगीची
hamal,	हमल,	हमाल
adhiwas,	अधीवास,	अधिवास
huin,	ह्इं,	हुईं
gtod,	ग्टोड,	जीतोड़
clock,	क्लॉक,	क्लाक
machaanon,	मचानों,	मचानों
craig,	क्रेज,	क्रेग
ehsaas,	एहसास,	एहसास
naakaam,	नाकाम,	नाकाम
pahlaa,	पहला,	पहला
daaw,	दाव,	दाव
furti,	फुर्ती,	फूर्ति
vanshvad,	वांश्वद,	वंशवाद
processing,	प्रोसेसिंग,	प्रॉसेसिंग
sandarbhon,	संदारभों,	संदर्भों
galaxyon,	गलाक्यों,	गैलेक्सियों
navjagran,	नवजागरण,	नवजागरण
daah,	दाह,	दाह
live,	लिव,	लाईव
pummy,	पमम्य,	पम्मी
rajman,	राजमान,	राजमां
panaamaa,	पनामा,	पनामा
yatraein,	यात्राएं,	यात्राएं
nirdeshika,	निर्देशिका,	निर्देशिका
badata,	बड़ता,	बढ़ाता
janam,	जन्म,	जानम
anuthi,	अनूठी,	अनूठी
kusumalataa,	कुसुमालता,	कुसुमलता
squash,	स्क्वाश,	स्क्वैश
achivement,	अचिविमेंट,	अचीवमेंट
maajin,	माजिन,	माजिन
patwari,	पतवारी,	पटवारी
narnaari,	नर्णारी,	नरनारी
cavalry,	केवरली,	कैवेलरी
shravani,	श्रवानी,	श्रावणी
bim,	बीम,	बीम
upadraviyon,	उपद्रवियों,	उपद्रवियों
kasht,	काष्ट,	काश्त
jean,	जीन,	जीन
avrodhk,	अवरोधक,	अवरोधक
vidhaaon,	विधाओं,	विद्याओं
chayal,	चायल,	चायल
atharva,	अथरवा,	अथर्व
pakaayen,	पकाएं,	पकाएं
deewani,	दीवानी,	दिवानी
deji,	देजी,	डेजी
braat,	ब्रात,	बरात
labeling,	लेबलिंग,	लेबलिंग
sahadev,	सहादेव,	सहदेव
sansthit,	संस्थित,	संस्थित
idle,	आइडल,	आइडल
bhavnaon,	भावनाओं,	भावनाओं
bahulya,	बहुल्य,	बाहुल्य
martha,	मार्थ,	मार्था
theatre,	ठिएटरे,	थियेटर
dadrewa,	डदरेवा,	ददरेवा
bewakoofaanaa,	बेवकूफाना,	बेवकूफाना
vipra,	विप्र,	विप्रा
creg,	क्रेज,	क्रेग
thanjavur,	तंजावूर,	तंजावुर
pakaayein,	पकाएं,	पकाएं
package,	पैकेज,	पैकेज
shaantikaal,	शांतिकाल,	शांतिकाल
kanal,	कनाल,	कनाल
munshiganj,	मूंशीगंज,	मुंशीगंज
ubhaara,	उभारा,	उभारा
jhankana,	झंकाना,	झांकना
wrapping,	रैपपिंग,	रैपिंग
sarsa,	सर्सा,	सरसा
jajamau,	जजमाऊ,	जाजमऊ
heros,	हेरोस,	हीरोज
shrikar,	श्रीकर,	श्रीकर
ekaee,	एकाई,	इकाई
chakkar,	चक्कर,	चक्कर
purvabhaas,	पूर्वाभास,	पूर्वाभास
franciska,	फ्रांसिक्सा,	फ्रांसिस्का
baramde,	बरामदे,	बरामदे
maryada,	मर्यादा,	मर्यादा
enth,	ऐंठ,	ऐंठ
vaishakhi,	वैशाखी,	वैशाखी
hiraganj,	हीरगंज,	हीरागंज
rugan,	रुगण,	रुग्ण
jodiyon,	जोड़ियों,	जोड़ियों
surveen,	सूरवीन,	सुरवीन
handiyaa,	हंदिया,	हंडिया
aadharit,	आधारित,	आधारित
orion,	ओरियन,	ओरियन
shmadan,	शमदान,	शमादान
anukulata,	अनुकूलता,	अनुकूलता
retreate,	रेटरिएट,	रीट्वीट
fislaa,	फिसला,	फिसला
prayasarat,	प्रयासरत,	प्रयासरत
taapmaanon,	तापमानों,	तापमानों
bagad,	बागड़,	बगड़
gujarana,	गुजरना,	गुजारना
manjilein,	मंजीलें,	मंजिलें
baadhaaon,	बाधाओं,	बाधाओं
aryma,	आर्यमा,	अर्यमा
diya,	दिया,	दीया
fransiska,	फ्रांसिक्सा,	फ्रांसिस्का
najib,	नजीब,	नजीब
rahamat,	रहमत,	रहमत
label,	लेबल,	लेबल
junior,	जूनियर,	जूनियर
moodi,	मूडी,	मूडी
jalgati,	जलगती,	जलगति
nrutyashaili,	नृत्यशैली,	नृत्यशैली
firmian,	फर्मियान,	फर्मिऑन
toh,	तोह,	तो
manzil,	मंजील,	मंजिल
bimon,	बीमों,	बीमों
mardanagi,	मरदनगी,	मर्दानगी
saval,	सवाल,	सवाल
jay,	जाय,	जय
anawashyak,	अनावश्यक,	अनावश्यक
junagadh,	जुनागढ़,	जूनागढ
favvara,	फाववरा,	फव्वारा
cleris,	क्लेरिस,	क्लेरिस
hegde,	हेग्ड,	हेगडे
aalochak,	आलोचक,	आलोचक
shetron,	क्षेत्रों,	क्षेत्रों
suhagin,	सुहागीन,	सुहागिन
samanjasy,	समंजस्य,	सामंजस्य
carfi,	कर्फी,	कार्की
katra,	कतरा,	कटरा
pehan,	पहन,	पहन
sambit,	संबीत,	संबित
patakshep,	पतकक्षेप,	पटाक्षेप
trott,	ट्रॉट,	ट्रॉट
jaankaron,	जानकारों,	जानकारों
paarshad,	पार्शद,	पार्षद
praakkathan,	प्राककण,	प्राक्कथन
hostess,	हॉस्टेस,	होस्टेस
samoaa,	समोआ,	सामोआ
granthiyaan,	ग्रांथियां,	ग्रंथियां
hippopotamus,	हिप्पोटामस,	हिप्पोपोटेमस
nava,	नवा,	नवा
dahal,	दहल,	दहल
jivan,	जीवन,	जीवन
kinote,	किनोते,	कीनोट
vyagr,	व्याग्र,	व्यग्र
chkkar,	चक्कर,	चक्कर
sachhidanand,	सचिचादनंड,	सच्चिदानंद
als,	एल्स,	एएलएस
baalti,	बालती,	बाल्टी
prashaasanon,	प्रशासनों,	प्रशासनों
sean,	सीन,	शॉन
bhulta,	भुलता,	भूलता
prathmikta,	प्राथमिकता,	प्राथमिकता
mood,	मूड़,	मूड
piky,	पिक्य,	पिकी
aanand,	आनंद,	आनद
kut,	कूट,	कूट
manzilein,	मंजीलें,	मंजिलें
awazen,	आवाजें,	आवाज़ें
keynote,	केनोट,	कीनोट
venkatraman,	वेंकटरमण,	वेंकटरमन
putali,	पुतली,	पुतली
yatna,	यतना,	यातना
pharmon,	फरमों,	फार्मों
manaye,	मनाय,	मनाए
teekon,	टीकों,	टीकों
pau,	पाऊ,	पौ
laingikta,	लैंगिकता,	लैंगिकता
water,	वेटर,	वाटर
han,	हान,	हां
badhit,	बढ़ित,	बाधित
dav,	डेव,	दाव
aerobic,	एरोबिक,	एरोबिक
laurence,	लॉरेंस,	लौरेंस
hamalavar,	हमलावर,	हमलावर
samadjiyon,	समाद्जियों,	समाधियों
kailana,	कैलना,	कायलाना
sexual,	सेक्वाल,	सेक्सुअल
zarda,	जर्दा,	जर्दा
lagega,	लगेगा,	लगेगा
ishaara,	इशारा,	इशारा
vipro,	विप्रो,	विप्रो
atwaal,	अत्वाल,	अटवाल
panama,	पनमा,	पनामा
aliens,	एलियंस,	एलियंस
davey,	दवे,	डेवी
dikhae,	दिखाए,	दिखार्इ
karur,	करूर,	करूर
hippo,	हिप्पो,	हिप्पो
yatraen,	यात्राएं,	यात्राएं
melaghaat,	मेलाघात,	मेलघाट
daisy,	दैस्य,	डेजी
awasthaen,	अवस्थाएं,	अवस्थाएं
nayak,	नायक,	नायक
lalkarta,	ललकर्ता,	ललकारता
jeevanshaili,	जीवनशीली,	जीवनशैली
raakhe,	राखे,	राखे
jhuthala,	झूठला,	झुठला
bhagaane,	भगाने,	भगाने
chai,	चाई,	छै
ulahana,	उलाहना,	उलाहना
suja,	सूजा,	सूजा
rudolf,	रूडलल्फ,	रुडोल्फ
mukartey,	मुकरते,	मुकरते
akram,	अक्रम,	अकरम
rajkot,	राजकोत,	राजकोट
saayn,	साएं,	सायं
sandarbha,	संदर्भ,	संदर्भ
karyarat,	कार्यारत,	कार्यरत
brant,	ब्रांट,	भ्रांत
bhranti,	भ्रांति,	भ्रांति
sujhati,	सुझाती,	सुझाती
batlaakar,	बतलाकर,	बतलाकर
sabah,	सबाह,	साबाह
sandali,	संदली,	संदली
pushkin,	पुष्कीन,	पुश्किन
prahlad,	प्रहलाद,	प्रह्लाद
phalibhoot,	फलीभूट,	फलीभूत
pathyakram,	पाठयक्रम,	पाठ्यक्रम
pahantaa,	पहनता,	पहनता
aagat,	आगत,	आगत
nemo,	नेमो,	नेमो
lagataar,	लगतार,	लागातार
formuley,	फॉर्मूले,	फार्मूले
perabola,	पेराबोला,	पैराबोला
clay,	क्ले,	क्ले
mitao,	मिटाओ,	मिटाओ
harpal,	हर्पल,	हरपाल
pendulam,	पेंडुलम,	पेंडुलम
solitaire,	सोलिटेयर,	सोलिटेयर
kursiyon,	कुर्सियों,	कुर्सियों
badali,	बदली,	बदली
raktaabh,	रक्ताभ,	रक्ताभ
pehno,	पहनो,	पहनो
chandon,	चांडों,	चंदों
bajana,	बजना,	बजना
shield,	शील्ड,	सील्ड
machaaye,	मचाए,	मचाए
select,	सीलेक्ट,	सलेक्ट
brighton,	ब्राइटन,	ब्रिगटन
abhi,	अभी,	अभी
traded,	ट्रेड्ड,	ट्रेडेड
udharv,	उधार्व,	ऊर्ध्व
bhulaa,	भुला,	भूला
simat,	सीमत,	सिमट
kanti,	कांती,	कांति
ghataatop,	घटातोप,	घटाटोप
alance,	एलेंस,	अलायंस
jeen,	जीन,	जीन
ibija,	इबिजा,	इबीजा
chikhali,	चिखली,	चिखली
jajmau,	जजमाऊ,	जाजमऊ
thengaa,	ठेंगा,	ठेंगा
johnson,	जॉन्सन,	जॉनसन
charit,	चरित,	चरित
tankar,	टंकर,	टंकार
stan,	स्टान,	स्तन
gayatri,	गायत्री,	गायत्री
bandhan,	बांधन,	बंधान
duvidhaayein,	दुविधाएं,	दुविधाएं
atakta,	अतकता,	अटकता
pammi,	पम्मी,	पम्मी
dhiryavan,	धीर्यवान,	धैर्यवान
dhankuber,	धनकूबर,	धनकुबेर
baitul,	बैतूल,	बैतूल
talbagaar,	तलबागार,	तलबगार
dhanadhany,	धनाधन्य,	धनधान्य
pajej,	पजेज,	पेजेज
propellant,	प्रॉपलेंट,	प्रोपेलेंट
cps,	सीपीएस,	सीपीएस
ustara,	उस्तरा,	उस्तरा
abvp,	एबीपी,	एबीवीपी
agusta,	अगूसता,	अगस्ता
sat,	सत,	सत
sitaram,	सीतारम,	सीताराम
maanga,	मांगा,	मांगा
charchaon,	चर्चाओं,	चर्चाओं
slider,	स्लाइडर,	स्लाइडर
lootmar,	लूटमार,	लूटमार
vise,	वीज,	वाइज
superhit,	सुपेरहित,	सुपरहिट
beemon,	बीमों,	बीमों
dvadash,	द्वदाश,	द्वादश
registan,	रेजिस्तान,	रेगिस्तान
andrabee,	अंदराबी,	अंद्राबी
aajmana,	आजमाना,	आजमाना
jacks,	जैक्स,	जैक्स
ganth,	गंठ,	गांठ
mejbaani,	मेजबानी,	मेज़बानी
thki,	थकी,	थकी
pihaani,	पिहानी,	पिहानी
budvig,	बुड़विग,	बुडविग
angaarak,	अंगारक,	अंगारक
masur,	मसूर,	मसूर
boston,	बोस्टों,	बॉस्टन
longewal,	लोंगेवाल,	लोंगोवाल
poonjikaran,	पूंजीकरण,	पूंजीकरण
qasim,	कसीम,	कासिम
chhudaane,	छुड़ाने,	छुडाने
naagrik,	नागरिक,	नागारिक
avranta,	अवरांता,	अवर्णता
naivedh,	नैवेध,	नैवेद्य
mason,	मसों,	मासों
achhanera,	अच्नेरा,	अछनेरा
malaga,	मलगा,	मलागा
sarkarein,	सरकरें,	सरकारें
alankaaron,	अलंकारों,	अलंकारों
saga,	सागा,	सागा
perafin,	पेराफिन,	पैराफिन
cutlery,	कटलरी,	कटलरी
mardani,	मर्दानी,	मरदानी
baago,	बागो,	बागो
wealth,	वेल्थ,	वेल्थ
thiyeters,	थियटर्स,	थियेटर्स
jasmeet,	जसमीत,	जसमीत
aastin,	आस्तिन,	आस्तीन
mehaman,	मेहमान,	मेहमान
rooting,	रुटिंग,	रूटिंग
patavaari,	पटवारी,	पटवारी
nelson,	नेल्सन,	नेल्सन
aagaashe,	आगाशे,	आगाशे
ninties,	निंटीज,	नाइनटीज
chhuri,	छुरी,	छुरी
jassi,	जस्सी,	जस्सी
jivaniyan,	जीवनियां,	जीवनियां
palaari,	पलारी,	पलारी
bharte,	भर्ते,	भरते
warriors,	वारियर्स,	वारियर्स
narnari,	नर्णरी,	नरनारी
ghisi,	घीसी,	घिसी
sheling,	शेलिंग,	शेलिंग
sohawal,	सोहवल,	सोहावल
vediyon,	वेदियों,	वेदियों
avaigyanik,	अवैज्ञानिक,	अवैज्ञानिक
theatron,	ठीतरों,	थिएटरों
nilgai,	निलगाई,	नीलगाय
amitav,	अमीतव,	अमिताव
vegyanik,	वेज्ञानिक,	वैज्ञानिक
datsun,	दत्सून,	डैटसन
varenya,	वरेनय,	वरेण्य
dhuni,	धुनी,	धूनी
bowling,	बोलिंग,	बाउलिंग
pic,	पीक,	पिक
bhaate,	भाते,	भाते
subhay,	सुभाय,	सुभाय
shrankhalaaon,	श्रृंखलाओं,	श्रंखलाओं
greg,	ग्रेग,	ग्रेग
sikud,	सिकुड़,	सिकुड़
bheera,	भीरा,	भीरा
julmon,	जुल्मों,	जुल्मों
rais,	रैस,	रईस
pitaamaha,	पितामाह,	पितामह
supachy,	सुपच्य,	सुपाच्य
khurpaka,	खूरपका,	खुरपका
risane,	रिसने,	रिसने
sanyukta,	संयुक्त,	संयुक्ता
yaariyan,	यारियां,	यारियां
sharabon,	शराबों,	शराबों
bakaul,	बकौल,	बकौल
sajja,	सज्जा,	सज्जा
allergic,	एलर्जिक,	एलर्जिक
mahipal,	महिपाल,	महिपाल
jagaega,	जगाएगा,	जगाएगा
jwar,	ज्वर,	ज्वार
choro,	चोरो,	चोरों
nirdhaarit,	निर्धारित,	निर्धारित
nights,	नाइट्स,	नाइट्रस
manch,	मांच,	मंच
bandhate,	बांधते,	बांधते
ishaak,	इशाक,	इशाक
pharth,	फर्थ,	फर्थ
badlapur,	बदलापुर,	बदलापुर
nikalani,	निकलनी,	निकालनी
senvai,	सेनवाई,	सेंवई
dalbadl,	डलबदल,	दलबदल
jutee,	जुती,	जुटी
lenewali,	लेनेवाली,	लेनेवाली
farukhabad,	फरुखाबाड,	फर्रुखाबाद
chiththi,	चित्ठी,	चिठ्ठी
pantar,	पंतर,	पंटर
praudh,	प्रौढ़,	प्रौढ
udhrva,	उध्रवा,	ऊर्ध्व
khachakhach,	खच्चाच,	खचाखच
maine,	मैने,	मैने
ralaud,	रालौद,	रालोद
luis,	लुज,	लुईस
zamaanaa,	जमाना,	ज़माना
inhalation,	इन्हालेशन,	इनहेलेशन
robertsan,	रॉबर्ट्सन,	रॉबर्टसन
baagiyon,	बागियों,	बागियों
jeeyo,	जीयों,	जीयो
chaalit,	चालित,	चालित
taahi,	ताही,	ताहि
raji,	राजी,	राजी
dekhoge,	देखोगे,	देखोगे
chhalla,	छल्ला,	छल्ला
dhaagaa,	धागा,	धागा
kusumalta,	कुसुमालता,	कुसुमलता
naasar,	नासर,	नासर
lakeer,	लकीर,	लकीर
complex,	कंप्लेक्स,	कॉम्प्लेक्स
tantr,	तंत्र,	तंत्र
kathore,	कथोरे,	कठोर
visheshan,	विशेषण,	विशेषण
nishnaat,	निष्णात,	निष्णात
panpana,	पनपाना,	पनपना
vaanon,	वानों,	वाणों
aavishakaar,	आविषाकार,	आविष्कार
rp,	आरपी,	आरपी
dayityon,	दैयत्यों,	दायित्वों
nanavati,	नानवती,	नानावती
cup,	कूप,	कप
ayodhyaanaath,	अयोध्यनाथ,	अयोध्यानाथ
bikherati,	बिखेरती,	बिखेरती
ikai,	इकाई,	इकाई
